Year,Country,Fuels_Coal,Fuels_Oil,Fuels_Gas,Fuels_Cement,Fuels_Flaring,Fuels_Bunkers,Fuels_Total
1975,World,1647.01998073208,2193.38508389848,615.670664164253,92.5331704949056,91.8960684293736,122.125330779592,4762.630298498684
1976,World,1708.52489178905,2330.39721967358,651.515959265895,96.6289116206179,107.918896259823,119.741766567743,5014.727645176708
1977,World,1750.11411168167,2412.35986649636,666.328459339342,101.189687987688,104.11260488652,122.520656862433,5156.625387254012
1978,World,1779.87778846025,2498.90607375078,696.14564220292,107.686877582558,106.488209101038,124.356167497665,5313.460758595212
1979,World,1863.62567847259,2530.8212400252,734.000947052724,109.103648418478,98.2941015378177,124.803967066362,5460.649582573171
1980,World,1912.79354283164,2442.2260448395,752.860233181758,109.857348168901,86.3671538642561,121.795890671613,5425.900213557668
1981,World,1907.47331776043,2332.63739631025,762.750572581577,109.885375794471,64.7307199285373,112.433110908775,5289.91049328404
1982,World,1940.82923237501,2276.51967025523,745.541061799038,109.374968577181,64.2961664187276,101.779282111343,5238.340381536529
1983,World,1991.70381841369,2253.43536948131,753.54372625225,111.793371563042,58.0915959383003,97.7208981277398,5266.288779776332
1984,World,2088.05941889695,2271.76922056055,821.771901015245,113.907112591068,50.9695483757899,98.0750993414916,5444.552300781093
1985,World,2238.52021116774,2271.30710854087,852.060462573123,115.29829404204,49.5219521015534,100.169978332383,5626.878006757709
1986,World,2270.91511572574,2339.33737381242,831.37271299086,120.108934012341,46.3072959625092,107.332203852518,5715.3736363563885
1987,World,2346.7427810729,2358.91849119801,902.816548424146,125.246973717227,44.4894338901049,143.840778423363,5922.055006725752
1988,World,2427.11088630561,2445.49795843901,946.030104092586,131.882273770643,50.6310487181249,148.746620874655,6149.898892200628
1989,World,2426.77170460062,2488.1091956939,993.547511825541,134.578389214221,41.1253771728334,154.113536355218,6238.2457148623325
1990,World,2374.94466760994,2523.22711119666,1045.39977926033,134.723586703927,70.6338914837572,149.795873421708,6298.724909676322
1991,World,2351.1432921929,2649.69393140733,1066.955806743,138.5030879742,74.7848338636521,148.386810402862,6429.467762583945
1992,World,2295.16908313926,2513.98916111657,1080.71294338721,144.256393208016,66.0435990481648,151.351047070837,6251.522226970058
1993,World,2322.94235725578,2515.94260856192,1110.02989113404,150.45902962212,63.8925032972789,152.319740626797,6315.586130497937
1994,World,2336.00351254429,2525.68113013753,1119.52338914838,160.596538545048,85.9226827656135,159.736998775985,6387.464251916847
1995,World,2402.61194597844,2548.84274936111,1149.02886384983,169.838501945194,89.1045343367282,168.758644745218,6528.185240216519
1996,World,2462.98249517955,2625.96525826475,1199.93718561522,173.338057078091,95.6778635578106,182.763412839819,6740.664272535239
1997,World,2450.25572811761,2665.72493453634,1204.55215365409,180.361650961412,96.3269968693802,192.206413521036,6789.4278776598685
1998,World,2384.2610239662,2700.2773835331,1224.23874292474,179.680465408833,91.8879726532143,203.921499886557,6784.267088372644
1999,World,2418.87436447273,2766.24584239032,1254.18069719875,188.458440210357,90.1008081403618,211.282152924635,6929.142305337154
2000,World,2512.88101938197,2805.15004262044,1291.22062486068,196.896639424312,94.7701036016671,214.133757215244,7115.052187104313
2001,World,2527.1041859909,2826.48205503956,1298.105558799,205.771131529154,91.6605712570368,212.627539813714,7161.751042429365
2002,World,2643.03011099002,2821.15532696782,1338.59211017754,213.397210809539,88.6271536613796,217.904205702995,7322.706118309293
2003,World,2871.948535364,2897.76960577918,1387.21348389023,234.718590742975,94.0516355943125,226.778163150395,7712.480014521092
